sentiment,statement
2,"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development ."
2,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .
1,"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection ."
0,"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year ."
2,"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers ."
0,"Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland ."
1,"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines ."
1,"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said ."
1,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world ."
1,"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities ."
1,"Juhani J+Ærvi , Corporate Executive Vice President of Kesko , says the Russian food retail sector is fragmented ."
2,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .
1,CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .
1,"The Tekla Structures product box , if needed , is now made from recycled material ."
1,"According to Finnair Technical Services , the measure is above all due to the employment situation ."
1,"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson ."
1,Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .
1,"Previously , Vaahto Pulp has supplied headboxes with rectifier roll and dilution control technology for Stora Enso 's mill in Imatra , eastern Finland ."
1,"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland ."
0,"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith ."
1,Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .
2,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % ."
1,"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today ."
2,"However , the proportion of the paid standing orders grew in 2009 ."
1,"The acquired business main asset is a mobile authentication and signing solution , branded as Tectia MobileID , which provides authentication to web e-mail , SSL-VPN , MS SharePoint , Tectia Secure Solutions and other applications and resources ."
2,The shopping center will have a prime location right next to the Myllypuro metro station .
1,"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares ."
0,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS
1,"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland ."
2,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .
1,Vacon recently announced plans to build its North American headquarters at 5 Business Park in Chambersburg .
2,"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat ."
1,"The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said ."
2,EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .
1,According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly .
1,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .
1,"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices ."
1,Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .
1,"It is the first oil company to join RSPO and commits fully to sustainable sourcing of feedstocks for the production of its NExBTL biodiesel , it said ."
1,"Fiskars R , founded in 1649 , is one of the oldest companies in the world and is the largest manufacturer of lightweight stainless steel scissors in the U.S. ."
0,Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .
1,The maximum number of new shares to be offered is 22 million .
1,"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''"
1,"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment ."
1,Inha Works has invested in its product development and market research .
1,Financial terms were n't disclosed .
1,"Finland-based companies , L+Ænnen Tehtaat and Raisio , have decided to dissolve the joint venture company ZAO Scandic Feed , which was established to start local animal feed business and feed production in northwest Russia ."
1,"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations ."
2,Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .
2,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 ."
1,Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .
1,The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .
1,"`` The biggest challenge was to make the piece look raw , '' Hansen said ."
0,Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .
0,The personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .
2,The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .
1,Production is scheduled to start by the end of April 2007 .
2,"We are very pleased with the fine co-operation between the two countries in recent times , he said ."
0,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market ."
1,The passenger tunnel is expected to be put into operation in 2009 .
1,The business section also includes Ahlstrom 's sustainability report .
2,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 ."
1,RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .
1,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said ."
1,A few employees would remain at the Oulu plant in support functions for other group units .
1,One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .
1,"According to the company , the lay-offs will be temporary ."
1,"The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 ."
1,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area ."
1,"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta ."
2,"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer ."
2,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster ."
2,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .
1,"With the new arrangement , customer responsibilities will become mainly regional ."
1,"The decision of Tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company ."
2,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .
0,"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki ."
1,"The product advisory does not apply to any other Nokia-branded battery , the company said ."
0,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 ."
2,Sales have risen in other export markets .
1,The combined value of the orders is almost EUR 3mn .
0,Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .
1,Registration is required .
1,Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market .
2,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 ."
2,"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years ."
1,"He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October ."
2,Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .
2,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share ."
1,The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .
1,The company will propose a dividend of EUR0 .12 per share for 2008 .
1,"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council ."
0,"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover ."
1,"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger ."
1,"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance ."
1,"Maximum amount of terminations in Finland is 40 employees , the company added ."
1,Insurance policies should be simple .
0,Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .
0,Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .
0,Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .
1,"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland ."
1,The project also implies an underground parking lot for 56 vehicles .
2,"In addition to the demand in Finland , the export of lining stone products also increased ."
1,"In future , the plant will focus on the production of flange profiles for wind farm towers ."
1,The office space will rise above the remodeled Cannon Street underground station .
1,"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 10,500 people ."
1,"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers ."
0,"Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur ."
2,"Profit per share was EUR 1.03 , up from EUR 0.87 ."
2,"Proving that good cellphone design is truly a work of art , the website for the Nokia 6131 provides a colorful canvas for the expression of mobile-inspired sentiments ."
2,Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .
2,"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market ."
1,"For the fiscal year ending September 30 , 2009 the revenue from these customers was $ 10.012 million or around 11.0 % of the transportation group 's revenue ."
1,"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway ."
2,Certain shareholders have irrevocably agreed to vote in favor of the bond issue .
2,This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .
2,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .
2,"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te"
1,Measures will be launched immediately and are due to be finalized in the first quarter of 2010 .
1,"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks ."
1,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .
1,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .
2,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups ."
2,"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said ."
0,"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 ."
1,"The remainder of its revenues will come from technology agreements with other firms , InterDigital said ."
1,"According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats ."
1,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares ."
2,`` Demand for sports equipment was good in 2005 .
2,"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 ."
2,Acquisitions have been made and businesses have been well integrated .
1,"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days ."
2,M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .
1,The investment will be worth approximately EUR 100mn .
2,"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA ."
1,"The familiar blue , white , and red HK seal has received a more authentic look ."
2,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow ."
1,Aspo serves demanding business-to-business customers .
1,The company expects sales revenue of RMB8 .0 billion in 2009 .
2,`` Residentialconstruction in particular has picked up in several markets .
2,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .
2,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals ."
1,Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed
2,Tekla will implement the renewal in software versions which will be introduced in spring 2011 .
1,"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m ."
1,Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari .
1,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones ."
1,"The firm is headquartered in Vantaa , southern Finland and has 16 employees ."
1,The phones are targeted at first time users in growth markets .
1,"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 ."
1,F-Secure Online Backup automatically protects all the content stored on a computer or smartphone by making a copy of the content to an online location .
0,"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 ."
0,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses ."
1,"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 ."
1,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .
1,The company did not distribute a dividend in 2005 .
1,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .
1,Earnings per share EPS amounted to EUR0 .01 .
1,"L+Ænnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish ."
2,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 ."
1,-- Christine Idzelis EQT Partners sheds Salcomp Swedish financial investor EQT Partners is selling a majority of its stake in mobile phone charger manufacturer Salcomp Oyj to Nordic investment company Nordstjernan AB .
2,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 ."
1,"` This order is included in Wartsila 's order book in the second quarter , ' the company added ."
1,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .
1,"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm ."
2,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry ."
0,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today ."
2,"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP ."
1,As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .
1,Yakima created the position for him after emerging from economic downturns of its own .
1,Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .
1,"The value of the deal exceeds EUR500 ,000 , the company said ."
1,Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .
2,The agreement strengthens our long-term partnership with Nokia Siemens Networks .
0,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 ."
1,Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .
2,The company feels these leases are prime locations due to several producing formations in the immediate area .
1,The inventor was issued U.S. Patent No. .
1,"The method utilises waterborne Ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer ."
2,"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said ."
2,"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February ."
2,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .
1,"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group ."
1,Aktia forecasts Finland 's inflation at 1.1 % in 2010 .
0,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .
2,The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .
2,Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .
0,"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % ."
0,"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings ."
1,Negotiations with representatives of the personnel regarding the restructuring process have now been ended .
0,The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .
2,"Thereby , the company will expand its offering to North , Central and South America ."
2,Construction volumes meanwhile grow at a rate of 10-15 percent annually .
1,Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .
2,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year ."
1,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .
2,"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''"
1,Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .
1,The company will release its 2010 results on 11 February 2011 .
2,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period ."
1,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said ."
2,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .
1,Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .
1,"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments ."
2,Uponor improved its performance in spite of the decrease in residential construction in the US .
1,"Nokia said that its next generation mobile gaming platform makes it easy for people to find , buy , play and share rich and immersive games on a range of Nokia devices ."
1,Results are expected late in 2006 .
1,at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .
1,The investment would be some EUR5m .
1,"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) ."
2,"Vaahto , which has entered the deal via its subsidiary Vaahto Pulp & Paper Machinery , will supply two of the units in the end of 2010 , while the remaining ones are expected for delivery in the beginning of 2011 ."
1,"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn ."
1,The beers differ slightly from mainstream beers .
1,"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface ."
1,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .
2,"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent ."
1,Operating loss landed at EUR39m including one-offs and at EUR27m excluding one-offs .
1,"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry ."
1,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed ."
0,"That 's what I go to bed worrying about every night , ' he said ."
1,The agreement is valid for four years .
2,Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .
1,"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares ."
2,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .
1,A 2001 agreement expired earlier this month .
1,"The store is located in Poznan in a shopping center named Pestka , the company added ."
1,Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .
2,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .
0,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 ."
1,The total project duration is three years and it is valued at some EUR11 .5 m.
2,This is the second successful effort for the financial investor this year .
1,"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % ."
1,"The group also plans to launch the 270 room Atria Grand , Whitefield , a five star luxury hotel , in 2009 ."
1,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo ."
1,"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year ."
1,The options might include a partial or total divestment of their shareholdings in Ovako .
2,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .
1,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % ."
1,"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+Ærtsil+Æ with UV technology for ballast water treatment ."
2,"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses ."
1,"The customer is then forwarded to the site , and unknown to him logged in with the first number ."
0,"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily ."
2,"In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network ."
1,"It 's `` finger-friendly '' , and to my opinion , really fast ."
1,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .
1,It has80 branches in Finland with annual revenue in Finland of ?
2,"The money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia , '' the release says ."
2,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .
0,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent ."
1,Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .
2,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .
1,"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares ."
2,"Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit ."
1,"When completed , the 120-meter Watchtower will be the highest building in Ireland ."
0,Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .
1,"Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum ."
0,"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 ."
0,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ."
1,Payment of shares shall be effected on subscription .
1,The total capacity of the factory will be approximately 100 engines a year .
1,"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side ."
1,"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th ."
1,"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems ."
2,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 ."
1,The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .
2,"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''"
1,Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .
1,Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .
1,Central Europe is an important market area for Honka .
1,"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide ."
1,The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .
1,The new chain has 700 discount stores and 250 supermarkets .
1,"The podcast , sees Harple provide the low-down on GyPSii 's platform , which takes someone 's location and demographic information to produce a contextual index of the world around them ."
2,"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 ."
1,Rapala Fishing Frenzy 2009 .
1,"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?"
0,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 ."
1,"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market ."
1,"SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , the world 's largest cell-phone maker , is using the Consumer Electronics Show in Las Vegas to introduce a high-end , thin folding phone , according to a media report Monday ."
1,4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .
1,Almost two thirds of Olvi 's net sales come from outside Finland .
1,"Elsewhere , the tendency is towards more developed packaging than before ."
0,Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .
0,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier ."
